연도,계약명,수행용역
2010,일조·조망환경 환경,연구용역
2010,영등포 PRUGIO CITY,친환경건축물 인증
2010,울산 우정혁신도 B-5BL공동,주택 성능등급인정
2010,새만금방수제 동진 4,기술제안
2010,한국전력,기술제안
2010,부산외곽순환 고속도로,기술제안
2010,새만금방수제 동진 1,기술제안
2010,BEXCO 설확충,기술제안
2010,고읍1초 외 5교 임대형 민간투자,친환경건축물 인증
2011,고읍1초 외 5교 임대형 민간투자,친환경건축물 인증
2010,제2하나원,연구용역
2010,진주 초장1지 B1-3BL,주택 성능등급인정
2010,진주 초장1지 B1-3BL공동,소음예측
2010,진주 초장1지 B1-3BL공동,소음실측
2011,진주 초장1지 B1-3BL공동,건축물 에너지효율등급
2011,진주 초장1지 B1-3BL공동,"일조, 조망"
2010,숭실대학교 생활관 민간투자 설,친환경건축물 인증
2010,강변북로(양화대교~원효대교) 확장,기술제안
2010,호매실 2초 외 2교 임대형민자,친환경건축물 인증
2010,해운대 우동 I-PARK,CFD
2010,일산 백석 Y-CITY 복합 설,주택 성능등급인정
2010,도화 공영주차장 복합청사,건축물 에너지효율등급
2010,도화 공영주차장 복합청사,친환경건축물 인증
2010,마곡지 현상,기술제안
2010,김해장유2차 지하주차장 결로발생 원인 저감대책,결로
2010,인체자원중앙은행 이전,기술제안
2010,서대문우체국,건축물 에너지효율등급
2010,백운2,"일조, 조망"
2013,고덕주공3,"일조, 조망"
2010,경남 창원 과학,기술제안
2010,춘천 온의동 80번지 일대 공동,"일조, 조망"
2008,왕십리뉴타운 제3 역,친환경건축물 인증
2008,왕십리뉴타운 제3 역,주택 성능등급인정
2010,왕십리뉴타운 제3 역,건축물 등의 범죄예방기준
2010,절감방안 및,연구용역
2010,새만금 방수제,기술제안
2010,은평뉴타운 3지 B공구,건축물 에너지효율등급
2010,남양주 진건지 보금자리,기술제안
2010,묵동자이 B블록,건축물 에너지효율등급
2010,묵동자이 B블록,친환경건축물 인증
2010,묵동자이 A블록,건축물 에너지효율등급
2010,묵동자이 A블록,친환경건축물 인증
2010,오산세교,건축물 에너지효율등급
2010,오산세교,친환경건축물 인증
2010,여수 엑스포 한국관 등 전 관 지원,기술제안
2010,해양경찰,기술제안
2010,Hanoi City Com p,기술제안
2010,서운 역,건축물 에너지효율등급
2010,서운 역,"일조, 조망"
2010,서운 역,친환경건축물 인증
2010,서운 역,소음예측
2010,서운 역,소음실측
2010,한화 양평 부지 마스터플랜 수립,기술제안
2010,설미초 외 3교 임대형 민자,친환경건축물 인증
2010,대전 학하지 4 B,소음실측
2010,대전 학하지 4 B,건축물 에너지효율등급
